trip_id,arrival_time,departure_time,stop_id,stop_sequence
250-1@1#535,05:35:00,05:35:00,5742,1
250-1@1#535,,,2472,2
250-1@1#535,,,2471,3
250-1@1#535,,,2469,4
250-1@1#535,,,5988,5
250-1@1#535,,,1317,6
250-1@1#535,,,1320,7
250-1@1#535,,,1318,8
250-1@1#535,,,1312,9
250-1@1#535,,,1311,10
250-1@1#535,,,5198,11
250-1@1#535,,,1299,12
250-1@1#535,,,1295,13
250-1@1#535,,,1289,14
250-1@1#535,,,1874,15
250-1@1#535,,,1870,16
250-1@1#535,,,1880,17
250-1@1#535,,,1747,18
250-1@1#535,,,1751,19
250-1@1#535,,,1764,20
250-1@1#535,,,1766,21
250-1@1#535,,,1752,22
250-1@1#535,,,1756,23
250-1@1#535,,,1730,24
250-1@1#535,,,5181,25
250-1@1#535,,,1784,26
250-1@1#535,,,1786,27
250-1@1#535,,,1782,28
250-1@1#535,,,1780,29
250-1@1#535,,,1788,30
250-1@1#535,,,1792,31
250-1@1#535,,,5456,32
250-1@1#535,,,5453,33
250-1@1#535,,,2079,34
250-1@1#535,,,5839,35
250-1@1#535,,,2076,36
250-1@1#535,,,5840,37
250-1@1#535,,,2074,38
250-1@1#535,,,1630,39
250-1@1#535,,,1625,40
250-1@1#535,,,5842,41
250-1@1#535,06:05:00,06:05:00,5329,42
250-1@1#555,05:55:00,05:55:00,5742,1
250-1@1#555,,,2472,2
250-1@1#555,,,2471,3
250-1@1#555,,,2469,4
250-1@1#555,,,5988,5
250-1@1#555,,,1317,6
250-1@1#555,,,1320,7
250-1@1#555,,,1318,8
250-1@1#555,,,1312,9
250-1@1#555,,,1311,10
250-1@1#555,,,5198,11
250-1@1#555,,,1299,12
250-1@1#555,,,1295,13
250-1@1#555,,,1289,14
250-1@1#555,,,1874,15
250-1@1#555,,,1870,16
250-1@1#555,,,1880,17
250-1@1#555,,,1747,18
250-1@1#555,,,1751,19
250-1@1#555,,,1764,20
250-1@1#555,,,1766,21
250-1@1#555,,,1752,22
250-1@1#555,,,1756,23
250-1@1#555,,,1730,24
250-1@1#555,,,5181,25
250-1@1#555,,,1784,26
250-1@1#555,,,1786,27
250-1@1#555,,,1782,28
250-1@1#555,,,1780,29
250-1@1#555,,,1788,30
250-1@1#555,,,1792,31
250-1@1#555,,,5456,32
250-1@1#555,,,5453,33
250-1@1#555,,,2079,34
250-1@1#555,,,5839,35
250-1@1#555,,,2076,36
250-1@1#555,,,5840,37
250-1@1#555,,,2074,38
250-1@1#555,,,1630,39
250-1@1#555,,,1625,40
250-1@1#555,,,5842,41
250-1@1#555,06:25:00,06:25:00,5329,42
250-1@1#620,06:20:00,06:20:00,5742,1
250-1@1#620,,,2472,2
250-1@1#620,,,2471,3
250-1@1#620,,,2469,4
250-1@1#620,,,5988,5
250-1@1#620,,,1317,6
250-1@1#620,,,1320,7
250-1@1#620,,,1318,8
250-1@1#620,,,1312,9
250-1@1#620,,,1311,10
250-1@1#620,,,5198,11
250-1@1#620,,,1299,12
